,CEO,Company Name,Company website,Email,Emp_range,Founded Date,Location,Long_description,Phone,Short_description,Tags,e27_url
0,Matthew Quek,Iterative Indie Games Fund,https://iterative.fund,,,March 2020,Singapore,"The Iterative Collective is an incubator, co-developer, and publisher for indie games.
It was founded in 2019 by two game developers who saw the lack of support in the indie games industry in Southeast Asia.

With an experienced core team and industry veterans as mentors, we provide a holistic and structured approach to incubation and publishing of independent games. This incubation framework developed jointly with our mentors ensures that the game development studios we incubate produce games of a world-class standard.

In our first year of operation, we had to turn away many promising games due to a lack of substantial initial capital. We created the Iterative Indie Games Fund to alleviate this problem with a win-win solution for all parties involved.",,The Iterative Indie Games Fund is an alternative investment fund that provides project-based investments for game studios that are professionally incubated & published through The Iterative Collective,Gaming,https://e27.co/startups/iterative-indie-games-fund
1,"Erwan Bodescot,Rakesh Patni,Rakesh Patni",Augmenteed,https://www.augmenteed.tech/,,,October 2019,Singapore,"Augmenteed platform provides tools to create professional applications for industrial technicians without any code needed. Those applications are created with templates and deployed to technicians on their tablets, mobile phone or smart glasses. 
The same way you create a website online without coding, Augmenteed allows digitizing industrial procedures to optimize processes.

We successfully deployed our logistic template in Changi Airport in Singapore to assist ground handling operators to load containers in aircrafts. We are also working on a remote assistance template with oil & gas companies to connect remote experts with front line technicians in Augmented Reality.
In the near future, we expect to work on other templates such as predictive maintenance, asset geolocation, MRO (Maintenance Repair and Operations) and many more depending on opportunities.",,"Augmenteed disrupts the way industrial workflows are digitized. This can now be done within weeks and without coding.
Augmenteed also provides a remote assistance solution to assist technicians.",Aerospace Energy Information & Communications Technology Manufacturing Software as a Service Transportation,https://e27.co/startups/augmenteed
2,Gunawan Wu,AyoDeal,https://www.ayodeal.com/,,,March 2020,Indonesia,"Background : 
Indonesia , With a total population of 270 million people is consumptive society in the eyes of the world. Peoples spend their daily income everyday, the consumptive behavior occurs in almost all work of live even in the lower middle class , such market behavior certainly caused the middle to the lower classes will find it difficult  to save and spend their money , without any result .The community behavior will certainly increase the amount transactions that occur both in the offline and online markets what if the growing number of online transactions also have a positive impact as additional income back to users of online transactions services ?


Vision : Create opportunities and share economic opportunities from every online shopping transaction throughout Indonesia 
mission : Helping individuals get the opportunity for a better economic life by utilizing the advances in online sales technology.

AyoDeal was founded on the basis that the desire to create new income opportunities for the people of Indonesia as a prospective digital internet user, all community purchase transactions through online transactions if shared will greatly affect the economic life of the community.

PT. Ayo Mandiri Indonesia was established in January 2020 which is a company with a digital technology base in the form of providing business stalls for buying and selling online transactions (market place)
PT. Ayo Mandiri Indonesia officially launched the AyoDeal Digital product in Medan on March 16, 2020, equipped with a marketing and development technology team, to win the hearts of users online transactions and create a new community to share economic life.

AyoDeal will continue to develop market potential nationally and target to be able to compete in global competition",,"Platform business market place with concept Sharing Economy , to create new income for ours member by member get member system",Marketplace Sharing Economy,https://e27.co/startups/ayodeal
3,Shian Lee,Fourfang,http://fourfang.co,,,December 2016,Malaysia,"We are a group of engineers who want to change the way UAVs are operated forever. Our goal is to develop a UAS that operates autonomously, is highly scalable, and can become an infrastructure that powers everyones lives.",,We develop and build AI drones that operate 24 7 without human control.,Robotics Aerospace Artificial Intelligence Smart Cities,https://e27.co/startups/fourfang
4,"Yuying Deng,Nalene Lyhor,Nalene Lyhor",Esevel Pte Ltd,https://esevel.com,,,April 2020,Singapore,"Esevel is a remote work platform that helps you take care of your remote employees in a manner that is convenient, affordable and fulfils your legal duty of care.",,Esevel helps to boost your remote team wellness and productivity with ergonomic furniture and equipment and workspace related services available at flexible low subscriptions.,Enterprise Solution Productivity & CRM Platform E-commerce,https://e27.co/startups/esevel-pte-ltd
5,Queenie Chong,Memori,https://memori.io,,,February 2019,Brunei,"Memori is a one-stop online platform that provides affordable and accessible legacy planning services. Memori offers online Will writing, secure storage for digital assets and an e-commerce that features insurance packages and bereavement products & services.",,To demystify the process and price of legacy planning for everyone.,Consumer Insurtech Finance,https://e27.co/startups/memori
6,"Ken Lim,Bell Beh Ee Ling,Bell Beh Ee Ling",Buzz AR,https://buzzar.app,,,May 2018,Singapore,"Buzz AR is the first Southeast Asia that successfully democratises AR for all businesses and users. Our mission is to create happiness through our user first privacy centric platform, where users can soak in joy without worrying about data privacy issues.

Within less than 9 months, the company has signed multiple 6 figures revenue from businesses. Buzz AR is accelerating 5G+ AR with different telcos to deliver happiness to 3M users, travelers in Singapore as a start.

We started off as a AR enabler, a pure B2B company that provide our AR SDK to businesses. As a 2 years old company, we create an ecosystem with strong grassroot cultures to combat Covid 19 crisis and use AR to save the travel, hospitality and retail businesses through Buzz X campaign.",,"Buzz AR digitalises every inch of the physical place, empowering experiential e-commerce/ social commerce. We transform how you eat, shop, play and live through our proprietary AR technologies.",Augmented Reality E-commerce Artificial Intelligence Virtual Reality Gaming Advertising Big Data,https://e27.co/startups/buzz-ar
7,,The Iterative Collective,https://TheIterative.co,,,January 2019,Singapore,"The Iterative Collective was founded in 2019 by two game developers who saw the lack of support in the indie games industry in Southeast Asia.

With an experienced core team and industry veterans as mentors, we provide a holistic and structured approach to incubation and publishing of independent games. This incubation framework developed jointly without mentors ensures that the game development studios we incubate produce games of a world-class standard.

In our first year of operation, we had to turn away many promising games due to a lack of substantial initial capital. We created the Iterative Indie Games Fund to alleviate this problem with a win-win solution for all parties involved.",,"The Iterative Collective is a game publisher, incubator and co-developer based in Singapore.",Gaming,https://e27.co/startups/theiterativeco
8,sengbeo lee,Taggle Pte Ltd,http://www.tagglehealth.com,,,July 2014,Singapore,"Taggle provides and manages Integrated Digital Health Platforms for Public & Private Healthcare Institutions using IoT & Wearable Devices, Machine Learning, Game Science and digital health technology, plus a 'whole of community' approach to motivate individuals to take responsibility for their own health and wellness with support from their healthcare provider.

Taggle is working with all 3 healthcare clusters in Singapore to develop digital health solutions and services for both patients and the population. Services to be provided include TeleRehab/VidRehab, Community Rehab, Virtual Rehab, Chronic Illnesses and Addiction management.

We are raising funds to expand our market into ASEAN and beyond.

With the COVID19 pandemic providing additional impetus, use of Digital Health to improve the management and provision of healthcare services to patients and population will gain market traction much faster than expected, as its benefits become more apparent. With the official launch of our Digital Health Platform in Singapore and deployment of services through 2020, Taggle is in a good position to expand and gain market share in the Healthcare Industry.

For the region, initial presentation to the Secretary of Health in the Philippines, Dr Francisco Duque III, was well-received and we were invited to prepare a proposal for a nationwide Community Digital Health Platform. This will include education, screening, and the management and prevention of Chronic Illnesses together with the Healthcare Institutions and Community there.

We have also initiated proposals to the League of Municipalities in Philippines and PT Jasnita Telekomindo Tbk in Indonesia for deployment of Population Health Services to Cities and Municipalities in Philippines and Indonesia.

The funding will enable us to capture all these opportunities.",,"To be Health 'Super' App, using our Digital Health Platform to connect consumers to healthcare services providers, enhancing and extending the healthcare services that can be provided to consumers.",Healthtech Internet of Things Marketplace Medtech Platform Smart Cities Virtual Reality,https://e27.co/startups/taggle-pte-ltd
9,Peter Tai,KNNB (Travelmew),https://www.travelmew.com/intro,,,May 2020,Singapore,"Despite travel is a difficult task in 2020, we are here to help the local community to promote the business by short videos, using unique AI & machine learning models.

Pre-register: https://www.travelmew.com/intro
Explainer video: https://youtu.be/89-HHYy4UfA

Our product: Travelmew = Travel Make Easy Way. A Travel Short Video & Itinerary Sharing App for everyone, gathering the travel key opinion leaders - KOL and rewarding users. The AI recommends videos and itinerary that is personalized and customized according to user's interest. We help travel industry and products to reach out to more audiences worldwide. The trip planning is simplified with the process of watch 1-minute video, see their itinerary with budget, know where and how to book, copy and edit it, and chat with auto-translation, video editing tool to make faster posting and easily share to other social media! 

We are coming up with ""Embrace Travel Industry"" campaign soon, a competition to make short videos to promote leisure and business. As an initiative of COVID-19 to support local community, we are offering 6 months FOC to promote your short video, which means you will get FREE sales lead. We are also actively partnering with KOL and hospitality service providers.

We are testing our beta version now, and we plan to launch in Q4 2020.
Pre-register Now & Stay tuned!",,Disrupting the Future Travel Industry By Changing the Way People Perceive Information Through Short Video with an Unique AI & ML System That Learn Your Travel Pattern & Preference.,Artificial Intelligence Travel Big Data Advertising Information & Communications Technology,https://e27.co/startups/knnb-pte-ltd
10,"Ssivix Lab,Anwar Rafique,Anwar Rafique",Ssivix Lab,https://www.ssivixlab.com,,,May 2017,Singapore,"Ssivix Lab aims to help our community and citizen with respect to live smartly and digitally. Our objective to Connect all your healthcare needs at one platform using deep technology.

Current in our community we are having issues in terms of seeing doctor neighborhood as waiting time is long, finding a Medical Transport as hassle to call and no price transparency, getting a right caregiver for elderly, no specific for elderly medical product and supplement, getting a home therapy for loved one. 

Our unique MyCLNQ  application is an ecosystem for all you healthcare needs at finger tips.  With the objective for betterment of our community. This breakthrough solution has in built Artificial Intelligence feature which suggest the nearest earliest available doctor and clinic availability

Medical Transport module is an unique and innovative feature which is enable to get faster Medical Transport and wheelchair fleet digitally. It gives price transparency, chat with provider and paperless invoicing. Fast and efficiently for elderly and active aging population.

Medical Caregiver feature finding a right caregiver or medical escort or companion at your fingertip. You can search and find based on your preference and system AI feature will search best fit based on request caregiver, home nursing, medical assist etc. 

Company understands the current challenge and competitive era where long term sustainability is quite critical. Therefore, company has long term sustainable business model.

Ssivix lab immediate focus mainly on patient care beyond hospital and clinics through Artificial Intelligence, IoT and blockchain technology.",,Enabling a digital health ecosystem beyond hospital and clinics. Providing smart choices of Digital Health for betterment of community. We changing the way healthcare service receive within community.,Healthtech Medtech Artificial Intelligence Smart Cities Blockchain Big Data,https://e27.co/startups/ssivixlab
